SpName,varText,,Groups,Obs_Occ,biasSum,Prop_reports,Exp_Occ,Chi_Val,CompareVal
Acer_floridanum,TN,G,2,17,1121833,0.2768,28.5104,4.6471,lesser
Acer_floridanum,TN,G,3,86,875179,0.216,22.248,182.6824,greater
Acer_floridanum,TN,G,4,17,457583,0.1129,11.6287,2.481,greater
Acer_floridanum,TN,G,5,86,294089,0.0726,7.4778,824.5388,greater
Acer_floridanum,VX,G,1,9,1081752,0.2669,27.4907,12.4372,lesser
Acer_floridanum,VX,G,2,74,953847,0.2354,24.2462,102.096,greater
Acer_floridanum,VX,G,3,20,452120,0.1116,11.4948,6.2931,greater
Acer_floridanum,VX,G,4,9,660863,0.1631,16.7993,3.6209,lesser
Acer_floridanum,VX,G,5,74,903895,0.223,22.969,113.3773,greater
Acer_floridanum,VN,G,1,3,953258,0.2352,24.2256,18.5971,lesser
Acer_floridanum,VN,G,2,12,814172,0.2009,20.6927,3.6517,lesser
Acer_floridanum,VN,G,3,47,982574,0.2425,24.9775,19.4171,greater
Acer_floridanum,VN,G,4,41,664034,0.1639,16.8817,34.457,greater
Acer_floridanum,VN,G,5,3,638439,0.1575,16.2225,10.7773,lesser
Acer_glabrum,TX,G,1,3202,901798,0.2225,1059.99,4328.5379,greater
Acer_glabrum,TX,G,2,1127,1031725,0.2546,1212.9144,6.0856,lesser
Acer_glabrum,TX,G,3,327,653130,0.1612,767.9568,253.1951,lesser
Acer_glabrum,TX,G,4,92,610776,0.1507,717.9348,545.7242,lesser
Acer_glabrum,TX,G,5,16,855048,0.211,1005.204,973.4587,lesser
Acer_glabrum,TN,G,1,17,1303793,0.3217,1532.5788,1498.7674,lesser
Acer_glabrum,TN,G,2,253,1121833,0.2768,1318.6752,861.2156,lesser
Acer_glabrum,TN,G,3,1316,875179,0.216,1029.024,80.0324,greater
Acer_glabrum,TN,G,4,1574,457583,0.1129,537.8556,1996.0659,greater
Acer_glabrum,TN,G,5,1604,294089,0.0726,345.8664,4576.6231,greater
Acer_glabrum,VX,G,1,1264,1081752,0.2669,1271.5116,0.0444,lesser
Acer_glabrum,VX,G,2,1837,953847,0.2354,1121.4456,456.5697,greater
Acer_glabrum,VX,G,3,990,452120,0.1116,531.6624,395.1255,greater
Acer_glabrum,VX,G,4,573,660863,0.1631,777.0084,53.5637,lesser
Acer_glabrum,VX,G,5,100,903895,0.223,1062.372,871.7849,lesser
Acer_glabrum,VN,G,1,1632,953258,0.2352,1120.4928,233.5041,greater
Acer_glabrum,VN,G,2,2253,814172,0.2009,957.0876,1754.6868,greater
Acer_glabrum,VN,G,3,700,982574,0.2425,1155.27,179.4133,lesser
Acer_glabrum,VN,G,4,129,664034,0.1639,780.8196,544.1318,lesser
Acer_glabrum,VN,G,5,50,638439,0.1575,750.33,653.6619,lesser
Acer_grandidentatum,TX,G,1,374,901798,0.2225,401.6125,1.8985,lesser
Acer_grandidentatum,TX,G,2,415,1031725,0.2546,459.553,4.3193,lesser
Acer_grandidentatum,TX,G,3,450,653130,0.1612,290.966,86.9236,greater
Acer_grandidentatum,TX,G,4,267,610776,0.1507,272.0135,0.0924,lesser
Acer_grandidentatum,TX,G,5,299,855048,0.211,380.855,17.5926,lesser
Acer_grandidentatum,TN,G,1,350,1303793,0.3217,580.6685,91.6322,lesser
Acer_grandidentatum,TN,G,2,434,1121833,0.2768,499.624,8.6195,lesser
Acer_grandidentatum,TN,G,3,519,875179,0.216,389.88,42.7618,greater
Acer_grandidentatum,TN,G,4,395,457583,0.1129,203.7845,179.4217,greater
Acer_grandidentatum,TN,G,5,107,294089,0.0726,131.043,4.4113,lesser
Acer_grandidentatum,VX,G,1,17,1081752,0.2669,481.7545,448.3544,lesser
Acer_grandidentatum,VX,G,2,170,953847,0.2354,424.897,152.9135,lesser
Acer_grandidentatum,VX,G,3,450,452120,0.1116,201.438,306.7101,greater
Acer_grandidentatum,VX,G,4,435,660863,0.1631,294.3955,67.1533,greater
Acer_grandidentatum,VX,G,5,733,903895,0.223,402.515,271.3448,greater
Acer_grandidentatum,VN,G,1,1353,953258,0.2352,424.536,2030.559,greater
Acer_grandidentatum,VN,G,2,212,814172,0.2009,362.6245,62.5654,lesser
Acer_grandidentatum,VN,G,3,226,982574,0.2425,437.7125,102.401,lesser
